6:1	בני|HNcmpc|H1121|SON  לוי|HNp|H3878|  גרשון|HNp|H1648|  קהת|HNp|H6955|  ומררי|HC/Np|H4847|
6:61	ולבני|HC/R/Ncmpc|H1121|SON  קהת|HNp|H6955|  הנותרים|HTd/VNrmpa|H3498|LEAVE BEHIND (V)  ממשפחת|HR/Ncfsc|H4940|CLAN  המטה|HTd/Ncmsa|H4294|BRANCH  ממחצית|HR/Ncfsc|H4276|ONE HALF  מטה|HNcmsc|H4294|BRANCH  חצי|HNcmsc|H2677|HALF  מנשה|HNp|H4519|  בגורל|HRd/Ncmsa|H1486|LOT  ערים|HNcfpa|H5892|CITY  עשר|HAcfsa|H6235|TEN
6:62	ולבני|HC/R/Ncmpc|H1121|SON  גרשום|HNp|H1647|  למשפחותם|HR/Ncfpc/Sp3mp|H4940|CLAN  ממטה|HR/Ncmsc|H4294|BRANCH  יששכר|HNp|H3485|  וממטה|HC/R/Ncmsc|H4294|BRANCH  אשר|HNp|H836|  וממטה|HC/R/Ncmsc|H4294|BRANCH  נפתלי|HNp|H5321|  וממטה|HC/R/Ncmsc|H4294|BRANCH  מנשה|HNp|H4519|  בבשן|HRd/Np|H1316|  ערים|HNcfpa|H5892|CITY  שלש|HAcfsa|H7969|THREE  עשרה|HAcfsa|H6240|TEN
6:63	לבני|HR/Ncmpc|H1121|SON  מררי|HNp|H4847|  למשפחותם|HR/Ncfpc/Sp3mp|H4940|CLAN  ממטה|HR/Ncmsc|H4294|BRANCH  ראובן|HNp|H7205|  וממטה|HC/R/Ncmsc|H4294|BRANCH  גד|HNp|H1410|  וממטה|HC/R/Ncmsc|H4294|BRANCH  זבולן|HNp|H2074|  בגורל|HRd/Ncmsa|H1486|LOT  ערים|HNcfpa|H5892|CITY  שתים|HAcfda|H8147|TWO  עשרה|HAcfsa|H6240|TEN
6:64	ויתנו|HC/Vqw3mp|H5414|TERRIBLE  בני|HNcmpc|H1121|SON  ישראל|HNp|H3478|  ללוים|HRd/Ngmpa|H3881|  את|HTo|H853|AT  הערים|HTd/Ncfpa|H5892|CITY  ואת|HC/To|H853|AT  מגרשיהם|HNcmpc/Sp3mp|H4054|OPEN SPACE
6:65	ויתנו|HC/Vqw3mp|H5414|TERRIBLE  בגורל|HRd/Ncmsa|H1486|LOT  ממטה|HR/Ncmsc|H4294|BRANCH  בני|HNcmpc|H1121|SON  יהודה|HNp|H3063|  וממטה|HC/R/Ncmsc|H4294|BRANCH  בני|HNcmpc|H1121|SON  שמעון|HNp|H8095|  וממטה|HC/R/Ncmsc|H4294|BRANCH  בני|HNcmpc|H1121|SON  בנימן|HNp|H1144|  את|HTo|H853|AT  הערים|HTd/Ncfpa|H5892|CITY  האלה|HTd/Pdxcp|H428|THESE  אשר|HTr|H834|WHICH  יקראו|HVqi3mp|H7121|CALL OUT (V)  אתהם|HTo/Sp3mp|H853|AT  בשמות|HR/Ncmpa|H8034|TITLE
6:66	וממשפחות|HC/R/Ncfpc|H4940|CLAN  בני|HNcmpc|H1121|SON  קהת|HNp|H6955|  ויהי|HC/Vqw3ms|H1961|EXIST (V)  ערי|HNcfpc|H5892|CITY  גבולם|HNcmsc/Sp3mp|H1366|BORDER  ממטה|HR/Ncmsc|H4294|BRANCH  אפרים|HNp|H669|
6:67	ויתנו|HC/Vqw3mp|H5414|TERRIBLE  להם|HR/Sp3mp|None|  את|HTo|H853|AT  ערי|HNcfpc|H5892|CITY  המקלט|HTd/Ncmsa|H4733|REFUGE  את|HTo|H853|AT  שכם|HNp|H7927|  ואת|HC/To|H853|AT  מגרשיה|HNcmpc/Sp3fs|H4054|OPEN SPACE  בהר|HR/Ncmsc|H2022|HILL  אפרים|HNp|H669|  ואת|HC/To|H853|AT  גזר|HNp|H1507|  ואת|HC/To|H853|AT  מגרשיה|HNcmpc/Sp3fs|H4054|OPEN SPACE
6:68	ואת|HC/To|H853|AT  יקמעם|HNp|H3361|  ואת|HC/To|H853|AT  מגרשיה|HNcmpc/Sp3fs|H4054|OPEN SPACE  ואת|HC/To|H853|AT  בית|HNp|H1032|  חורון|HNp|H1032|  ואת|HC/To|H853|AT  מגרשיה|HNcmpc/Sp3fs|H4054|OPEN SPACE
6:69	ואת|HC/To|H853|AT  אילון|HNp|H357|  ואת|HC/To|H853|AT  מגרשיה|HNcmpc/Sp3fs|H4054|OPEN SPACE  ואת|HC/To|H853|AT  גת|HNp|H1667|  רמון|HNp|H1667|  ואת|HC/To|H853|AT  מגרשיה|HNcmpc/Sp3fs|H4054|OPEN SPACE
6:70	וממחצית|HC/R/Ncfsc|H4276|ONE HALF  מטה|HNcmsc|H4294|BRANCH  מנשה|HNp|H4519|  את|HTo|H853|AT  ענר|HNp|H6063|  ואת|HC/To|H853|AT  מגרשיה|HNcmpc/Sp3fs|H4054|OPEN SPACE  ואת|HC/To|H853|AT  בלעם|HNp|H1109|  ואת|HC/To|H853|AT  מגרשיה|HNcmpc/Sp3fs|H4054|OPEN SPACE  למשפחת|HR/Ncfsc|H4940|CLAN  לבני|HR/Ncmpc|H1121|SON  קהת|HNp|H6955|  הנותרים|HTd/VNrmpa|H3498|LEAVE BEHIND (V)
6:71	לבני|HR/Ncmpc|H1121|SON  גרשום|HNp|H1647|  ממשפחת|HR/Ncfsc|H4940|CLAN  חצי|HNcmsc|H2677|HALF  מטה|HNcmsc|H4294|BRANCH  מנשה|HNp|H4519|  את|HTo|H853|AT  גולן|HNp|H1474|  בבשן|HRd/Np|H1316|  ואת|HC/To|H853|AT  מגרשיה|HNcmpc/Sp3fs|H4054|OPEN SPACE  ואת|HC/To|H853|AT  עשתרות|HNp|H6252|  ואת|HC/To|H853|AT  מגרשיה|HNcmpc/Sp3fs|H4054|OPEN SPACE
6:72	וממטה|HC/R/Ncmsc|H4294|BRANCH  יששכר|HNp|H3485|  את|HTo|H853|AT  קדש|HNp|H6943|  ואת|HC/To|H853|AT  מגרשיה|HNcmpc/Sp3fs|H4054|OPEN SPACE  את|HTo|H853|AT  דברת|HNp|H1705|  ואת|HC/To|H853|AT  מגרשיה|HNcmpc/Sp3fs|H4054|OPEN SPACE
6:73	ואת|HC/To|H853|AT  ראמות|HNp|H7216|  ואת|HC/To|H853|AT  מגרשיה|HNcmpc/Sp3fs|H4054|OPEN SPACE  ואת|HC/To|H853|AT  ענם|HNp|H6046|  ואת|HC/To|H853|AT  מגרשיה|HNcmpc/Sp3fs|H4054|OPEN SPACE
6:74	וממטה|HC/R/Ncmsc|H4294|BRANCH  אשר|HNp|H836|  את|HTo|H853|AT  משל|HNp|H4913|  ואת|HC/To|H853|AT  מגרשיה|HNcmpc/Sp3fs|H4054|OPEN SPACE  ואת|HC/To|H853|AT  עבדון|HNp|H5658|  ואת|HC/To|H853|AT  מגרשיה|HNcmpc/Sp3fs|H4054|OPEN SPACE
6:75	ואת|HC/To|H853|AT  חוקק|HNp|H2712|  ואת|HC/To|H853|AT  מגרשיה|HNcmpc/Sp3fs|H4054|OPEN SPACE  ואת|HC/To|H853|AT  רחב|HNp|H7340|  ואת|HC/To|H853|AT  מגרשיה|HNcmpc/Sp3fs|H4054|OPEN SPACE
