## 18:1
05	אֶת	H853	HTo	AT
06	מַצֶּ֨בֶת֙	H4678	HNcfsa	PILLAR
07	אֲשֶׁ֣ר	H834	HTr	WHICH
08	בְּעֵֽמֶק	H6010	HR/Ncmsc	VALLEY
09	הַמֶּ֔לֶךְ	H4428	HTd/Ncmsa	KING
10	כִּ֤י	H3588	HC	GIVEN THAT
11	אָמַר֙	H559	HVqp3ms	SAY (V)
12	אֵֽין	H369	HTn	WITHOUT
13	לִ֣י	None	HR/Sp1cs	
14	בֵ֔ן	H1121	HNcmsa	SON
15	בַּעֲב֖וּר	H5668	HR/Ncmsc	CROSS OVER (V)
16	הַזְכִּ֣יר	H2142	HVhc	REMEMBER (V)
17	שְׁמִ֑י	H8034	HNcmsc/Sp1cs	TITLE
18	וַיִּקְרָ֤א	H7121	HC/Vqw3ms	CALL OUT (V)
19	לַמַּצֶּ֨בֶת֙	H4678	HRd/Ncfsa	PILLAR
20	עַל	H5921	HR	UPON
21	שְׁמ֔וֹ	H8034	HNcmsc/Sp3ms	TITLE
22	וַיִּקָּ֤רֵא	H7121	HC/VNw3ms	CALL OUT (V)
23	לָהּ֙	None	HR/Sp3fs	
24	יַ֣ד	H3027	HNcbsc	HAND
25	אַבְשָׁלֹ֔ם	H53	HNp	
26	עַ֖ד	H5704	HR	UNTIL
27	הַיּ֥וֹם	H3117	HTd/Ncmsa	DAY
28	הַזֶּֽה	H2088	HTd/Pdxms	THIS

## 18:19
01	וַאֲחִימַ֤עַץ	H290	HC/Np	
02	בֶּן	H1121	HNcmsc	SON
03	צָדוֹק֙	H6659	HNp	
04	אָמַ֔ר	H559	HVqp3ms	SAY (V)
05	אָר֣וּצָה	H7323	HVqh1cs	RUN (V)
06	נָּ֔א	H4994	HTj	PLEASE
07	וַאֲבַשְּׂרָ֖ה	H1319	HC/Vph1cs	REPORT (V)
08	אֶת	H853	HTo	AT
09	הַמֶּ֑לֶךְ	H4428	HTd/Ncmsa	KING
10	כִּי	H3588	HC	GIVEN THAT
11	שְׁפָט֥וֹ	H8199	HVqp3ms/Sp3ms	DECIDE (V)
12	יְהוָ֖ה	H3068	HNp	
13	מִיַּ֥ד	H3027	HR/Ncbsc	HAND
14	אֹיְבָֽיו	H341	HVqrmpc/Sp3ms	ATTACK (V)

## 18:20
01	וַיֹּ֧אמֶר	H559	HC/Vqw3ms	SAY (V)
02	ל֣וֹ	None	HR/Sp3ms	
03	יוֹאָ֗ב	H3097	HNp	
04	לֹא֩	H3808	HTn	NOT
05	אִ֨ישׁ	H376	HNcmsc	MAN
06	בְּשֹׂרָ֤ה	H1309	HNcfsa	GOOD NEWS
07	אַתָּה֙	H859	HPp2ms	YOU(FP)
08	הַיּ֣וֹם	H3117	HTd/Ncmsa	DAY
09	הַזֶּ֔ה	H2088	HTd/Pdxms	THIS
10	וּבִשַּׂרְתָּ֖	H1319	HC/Vpq2ms	REPORT (V)
11	בְּי֣וֹם	H3117	HR/Ncmsa	DAY
12	אַחֵ֑ר	H312	HAamsa	OTHER
13	וְהַיּ֤וֹם	H3117	HC/Td/Ncmsa	DAY
14	הַזֶּה֙	H2088	HTd/Pdxms	THIS
15	לֹ֣א	H3808	HTn	NOT
16	תְבַשֵּׂ֔ר	H1319	HVpi2ms	REPORT (V)
17	כִּֽי	H3588	HC	GIVEN THAT
18	בֶּן	H1121	HNcmsc	SON
19	הַמֶּ֖לֶךְ	H4428	HTd/Ncmsa	KING
20	מֵֽת	H4191	HVqp3ms	DIE (V)

## 18:21
01	וַיֹּ֤אמֶר	H559	HC/Vqw3ms	SAY (V)
02	יוֹאָב֙	H3097	HNp	
03	לַכּוּשִׁ֔י	H3569	HRd/Ngmsa	
04	לֵ֛ךְ	H3212	HVqv2ms	WALK (V)
05	הַגֵּ֥ד	H5046	HVhv2ms	BE FACE TO FACE (V)
06	לַמֶּ֖לֶךְ	H4428	HRd/Ncmsa	KING
07	אֲשֶׁ֣ר	H834	HTr	WHICH
08	רָאִ֑יתָה	H7200	HVqp2ms	SEE (V)
09	וַיִּשְׁתַּ֧חוּ	H7812	HC/Vtw3ms	BEND DOWN (V)
10	כוּשִׁ֛י	H3569	HNgmsa	
11	לְיוֹאָ֖ב	H3097	HR/Np	
12	וַיָּרֹֽץ	H7323	HC/Vqw3ms	RUN (V)

## 18:22
01	וַיֹּ֨סֶף	H3254	HC/Vhw3ms	ADD (V)
02	ע֜וֹד	H5750	HD	YET AGAIN
03	אֲחִימַ֤עַץ	H290	HNp	
04	בֶּן	H1121	HNcmsc	SON
05	צָדוֹק֙	H6659	HNp	
06	וַיֹּ֣אמֶר	H559	HC/Vqw3ms	SAY (V)
07	אֶל	H413	HR	TO
08	יוֹאָ֔ב	H3097	HNp	
09	וִ֣יהִי	H1961	HC/Vqj3ms	EXIST (V)
10	מָ֔ה	H4100	HTi	WHAT
11	אָרֻֽצָה	H7323	HVqh1cs	RUN (V)
12	נָּ֥א	H4994	HTj	PLEASE
13	גַם	H1571	HD	ALSO
14	אָ֖נִי	H589	HPp1cs	I
15	אַחֲרֵ֣י	H310	HR	AFTER
16	הַכּוּשִׁ֑י	H3569	HTd/Ngmsa	
17	וַיֹּ֣אמֶר	H559	HC/Vqw3ms	SAY (V)
18	יוֹאָ֗ב	H3097	HNp	
19	לָֽמָּה	H4100	HR/Ti	WHAT
20	זֶּ֞ה	H2088	HPdxms	THIS
21	אַתָּ֥ה	H859	HPp2ms	YOU(FP)
22	רָץ֙	H7323	HVqrmsa	RUN (V)
23	בְּנִ֔י	H1121	HNcmsc/Sp1cs	SON
24	וּלְכָ֖ה	None	HC/R/Sp2ms	
25	אֵין	H369	HTn	WITHOUT
26	בְּשׂוֹרָ֥ה	H1309	HNcfsa	GOOD NEWS
27	מֹצֵֽאת	H4672	HVqrfsa	FIND (V)

## 18:23
01	וִיהִי	H1961	HC/Vqj3ms	EXIST (V)
02	מָ֣ה	H4100	HTi	WHAT
03	אָר֔וּץ	H7323	HVqi1cs	RUN (V)
04	וַיֹּ֥אמֶר	H559	HC/Vqw3ms	SAY (V)
05	ל֖וֹ	None	HR/Sp3ms	
06	ר֑וּץ	H7323	HVqv2ms	RUN (V)
07	וַיָּ֤רָץ	H7323	HC/Vqw3ms	RUN (V)
08	אֲחִימַ֨עַץ֙	H290	HNp	
09	דֶּ֣רֶךְ	H1870	HNcbsc	ROAD
10	הַכִּכָּ֔ר	H3603	HTd/Ncbsa	ROUND
11	וַֽיַּעֲבֹ֖ר	H5674	HC/Vqw3ms	CROSS OVER (V)
12	אֶת	H853	HTo	AT
13	הַכּוּשִֽׁי	H3569	HTd/Ngmsa	

## 18:24
01	וְדָוִ֥ד	H1732	HC/Np	
02	יוֹשֵׁ֖ב	H3427	HVqrmsa	SETTLE (V)
03	בֵּין	H996	HR	BETWEEN
04	שְׁנֵ֣י	H8147	HAcmdc	TWO
05	הַשְּׁעָרִ֑ים	H8179	HTd/Ncmpa	GATE
06	וַיֵּ֨לֶךְ	H3212	HC/Vqw3ms	WALK (V)
07	הַצֹּפֶ֜ה	H6822	HTd/Vqrmsa	KEEP WATCH (V)
08	אֶל	H413	HR	TO
09	גַּ֤ג	H1406	HNcmsc	ROOF
10	הַשַּׁ֨עַר֙	H8179	HTd/Ncmsa	GATE
11	אֶל	H413	HR	TO
12	הַ֣חוֹמָ֔ה	H2346	HTd/Ncfsa	RAMPART
13	וַיִּשָּׂ֤א	H5375	HC/Vqw3ms	LIFT UP (V)
14	אֶת	H853	HTo	AT
15	עֵינָיו֙	H5869	HNcbdc/Sp3ms	EYE
16	וַיַּ֔רְא	H7200	HC/Vqw3ms	SEE (V)
17	וְהִנֵּה	H2009	HC/Tm	LOOK
18	אִ֖ישׁ	H376	HNcmsa	MAN
19	רָ֥ץ	H7323	HVqrmsa	RUN (V)
20	לְבַדּֽוֹ	H905	HR/Ncmsc/Sp3ms	FIBER

## 18:25
01	וַיִּקְרָ֤א	H7121	HC/Vqw3ms	CALL OUT (V)
02	הַצֹּפֶה֙	H6822	HTd/Vqrmsa	KEEP WATCH (V)
03	וַיַּגֵּ֣ד	H5046	HC/Vhw3ms	BE FACE TO FACE (V)
04	לַמֶּ֔לֶךְ	H4428	HRd/Ncmsa	KING
05	וַיֹּ֣אמֶר	H559	HC/Vqw3ms	SAY (V)
06	הַמֶּ֔לֶךְ	H4428	HTd/Ncmsa	KING
07	אִם	H518	HC	IF
08	לְבַדּ֖וֹ	H905	HR/Ncmsc/Sp3ms	FIBER
