Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote	VerseId
JOL	2	21	g3z3	figs-apostrophe	אַל־תִּֽירְאִ֖י אֲדָמָ֑ה	1.0	Do not fear, land	Joel speaks to the people of the land as if he were speaking to the land itself. Alternate translation: “Do not be afraid, you people of the land” (See: [[rc://en/ta/man/translate/figs-apostrophe]])	JOL 2:21
JOL	2	22	n9lm	figs-apostrophe	אַל־תִּֽירְאוּ֙ בַּהֲמ֣וֹת שָׂדַ֔י	1.0	Do not fear, beasts of the field	Joel speaks to people who own livestock as if he were speaking to the animals themselves. Alternate translation: “Do not be afraid, you people who own livestock” (See: [[rc://en/ta/man/translate/figs-apostrophe]])	JOL 2:22
JOL	2	22	t5ty	figs-metonymy	דָשְׁא֖וּ נְא֣וֹת מִדְבָּ֑ר	1.0	the pastures of the wilderness will sprout	The pastures are a metonym for the plants that grow in the pastures. Alternate translation: “plants good for food will sprout in the pastures in the wilderness” (See: [[rc://en/ta/man/translate/figs-metonymy]])	JOL 2:22
JOL	2	26	jy17	figs-metonymy	וְ⁠הִלַּלְתֶּ֗ם אֶת־שֵׁ֤ם יְהוָה֙	1.0	praise the name of Yahweh	The name is a metonym for the person, specifically his reputation. Alternate translation: “praise Yahweh” or “praise Yahweh because everyone knows he is good” (See: [[rc://en/ta/man/translate/figs-metonymy]])	JOL 2:26
JOL	2	26	x2qr	figs-123person	שֵׁ֤ם יְהוָה֙ אֱלֹ֣הֵי⁠כֶ֔ם אֲשֶׁר־עָשָׂ֥ה עִמָּ⁠כֶ֖ם לְ⁠הַפְלִ֑יא	1.0	the name of Yahweh … who has done wonders	Yahweh speaks of himself by name to show that he will certainly do as he has said. Alternate translation: “my name … because I have done wonders” (See: [[rc://en/ta/man/translate/figs-123person]])	JOL 2:26
JOL	2	28	mc8b	figs-metaphor	אֶשְׁפּ֤וֹךְ אֶת־רוּחִ⁠י֙ עַל־כָּל־בָּשָׂ֔ר	1.0	I will pour out my Spirit on all flesh	Yahweh speaks of the Spirit as if he were speaking of water. AT” “I will give my Spirit generously to all flesh” (See: [[rc://en/ta/man/translate/figs-metaphor]])	JOL 2:28
JOL	2	28	ny8x	figs-synecdoche	כָּל־בָּשָׂ֔ר	1.0	all flesh	Here “flesh” represents people. Alternate translation: “all people” (See: [[rc://en/ta/man/translate/figs-synecdoche]])	JOL 2:28
JOL	2	30	fxj8	figs-metonymy	דָּ֣ם וָ⁠אֵ֔שׁ וְ⁠תִֽימֲר֖וֹת עָשָֽׁן	1.0	blood, fire, and pillars of smoke	“blood” is symbolizing the death of people. Alternate translation: “death, fire and pillars of smoke” (See: [[rc://en/ta/man/translate/figs-metonymy]])	JOL 2:30
JOL	2	31	fc5h	figs-metonymy	וְ⁠הַ⁠יָּרֵ֖חַ לְ⁠דָ֑ם	1.0	the moon into blood	Here the word “blood” refers to the color red. You can supply the verb for this phrase. Alternate translation: “the moon will turn red like blood” (See: [[rc://en/ta/man/translate/figs-metonymy]] and [[rc://en/ta/man/translate/figs-ellipsis]])	JOL 2:31
JOL	2	32	t1vg	figs-metonymy	כֹּ֧ל אֲשֶׁר־יִקְרָ֛א בְּ⁠שֵׁ֥ם יְהוָ֖ה יִמָּלֵ֑ט	1.0	everyone who calls on the name of Yahweh will be saved	The name is a metonym for the person. This can be translated in active form. Alternate translation: “Yahweh will save everyone who calls on his name” (See: [[rc://en/ta/man/translate/figs-metonymy]] and [[rc://en/ta/man/translate/figs-activepassive]])	JOL 2:32
JOL	2	32	k5zj	figs-doublet	בְּ⁠הַר־צִיּ֨וֹן וּ⁠בִ⁠ירוּשָׁלִַ֜ם	1.0	on Mount Zion and in Jerusalem	These refer to the same place. Alternate translation: “on Mount Zion in Jerusalem” (See: [[rc://en/ta/man/translate/figs-doublet]])	JOL 2:32
JOL	2	32	j194	figs-ellipsis	וּ⁠בַ֨⁠שְּׂרִידִ֔ים אֲשֶׁ֥ר יְהוָ֖ה קֹרֵֽא	1.0	among the survivors, those whom Yahweh calls	The phrase “there will be” is understood from earlier in the sentence. It can be repeated here. Alternate translation: “among the survivors there will be those whom Yahweh calls” (See: [[rc://en/ta/man/translate/figs-ellipsis]])	JOL 2:32
JOL	3	1	zy3s	figs-doublet	בַּ⁠יָּמִ֥ים הָ⁠הֵ֖מָּה וּ⁠בָ⁠עֵ֣ת הַ⁠הִ֑יא	1.0	in those days and at that time	The phrase “at that time” means the same thing as and intensifies the phrase “in those days.” Alternate translation: “in those very days” or “at that very time” (See: [[rc://en/ta/man/translate/figs-doublet]])	JOL 3:1
JOL	3	2	idt3	figs-doublet	עַמִּ֨⁠י וְ⁠נַחֲלָתִ֤⁠י יִשְׂרָאֵל֙	1.0	my people and my inheritance Israel	These two phrases emphasize how Yahweh views Israel as his own precious people. Alternate translation: “the people of Israel, who are my inheritance” (See: [[rc://en/ta/man/translate/figs-doublet]])	JOL 3:2
JOL	3	3	z4y6	figs-explicit	וַ⁠יִּתְּנ֤וּ הַ⁠יֶּ֨לֶד֙ בַּ⁠זּוֹנָ֔ה וְ⁠הַ⁠יַּלְדָּ֛ה מָכְר֥וּ בַ⁠יַּ֖יִן וַ⁠יִּשְׁתּֽוּ	1.0	traded a boy for a prostitute, and sold a girl for wine so they could drink	These are examples of the kinds of things they did and do not indicate what they did to two particular children. Alternate translation: “and did things like trading a boy for a prostitute and selling a girl for wine, so they could drink” (See: [[rc://en/ta/man/translate/figs-explicit]])	JOL 3:3
JOL	3	4	qj6v	figs-rquestion	וְ֠⁠גַם מָה־אַתֶּ֥ם לִ⁠י֙ צֹ֣ר וְ⁠צִיד֔וֹן וְ⁠כֹ֖ל גְּלִיל֣וֹת פְּלָ֑שֶׁת	1.0	why are you angry at me … Philistia?	Yahweh is encouraging the people of Judah, who can hear him, by scolding the people of Tyre, Sidon, and Philistia, who cannot hear him, as if they can. The names of the towns are metonyms for the people who live in the towns. These words can be translated as a statement. Alternate translation: “you have no right to be angry at me … Philistia.” (See: [[rc://en/ta/man/translate/figs-rquestion]])	JOL 3:4
JOL	3	4	xaa9	figs-rquestion	הַ⁠גְּמ֗וּל אַתֶּם֙ מְשַׁלְּמִ֣ים עָלָ֔⁠י	1.0	Will you repay me?	“Will you get revenge on me?” God uses this question to make the people think about what they are doing. Alternate translation: “You think you can get revenge on me, but you cannot.” (See: [[rc://en/ta/man/translate/figs-rquestion]])	JOL 3:4
JOL	3	4	ns7f	figs-synecdoche	קַ֣ל מְהֵרָ֔ה אָשִׁ֥יב גְּמֻלְ⁠כֶ֖ם בְּ⁠רֹאשְׁ⁠כֶֽם	1.0	I will immediately return your retribution on your own head	Here the word “head” refers to the person. Yahweh will make them suffer the pain they wanted him to suffer. Alternate translation: “I will cause you to suffer the retribution that you tried to put on me” (See: [[rc://en/ta/man/translate/figs-synecdoche]] and [[rc://en/ta/man/translate/figs-idiom]])	JOL 3:4
JOL	3	7	dc6d	figs-explicit	מִן־הַ֨⁠מָּק֔וֹם אֲשֶׁר־מְכַרְתֶּ֥ם אֹתָ֖⁠ם שָׁ֑מָּ⁠ה	1.0	out of the place where you sold them	The people of Israel will leave the places where they were slaves and come back to the land of Israel. (See: [[rc://en/ta/man/translate/figs-explicit]])	JOL 3:7
JOL	3	8	pww6	figs-metonymy	וּ⁠מָכַרְתִּ֞י אֶת־בְּנֵי⁠כֶ֣ם וְ⁠אֶת־בְּנֽוֹתֵי⁠כֶ֗ם בְּ⁠יַד֙ בְּנֵ֣י יְהוּדָ֔ה	1.0	I will sell your sons and your daughters, by the hand of the people of Judah	The hand can be a metonym for the power the hand exercises or a synecdoche for the person. Alternate translation: “I will have the people of Judah sell your sons and your daughters” (See: [[rc://en/ta/man/translate/figs-metonymy]] and [[rc://en/ta/man/translate/figs-synecdoche]])	JOL 3:8
JOL	3	10	t93c	figs-parallelism	כֹּ֤תּוּ אִתֵּי⁠כֶם֙ לַֽ⁠חֲרָב֔וֹת וּ⁠מַזְמְרֹֽתֵי⁠כֶ֖ם לִ⁠רְמָחִ֑ים	1.0	Beat your plowshares into swords and your pruning knives into spears	These two phrases share similar meanings. Both of them instruct the people to turn their farming tools into weapons. (See: [[rc://en/ta/man/translate/figs-parallelism]])	JOL 3:10
JOL	3	11	rp2a	figs-irony	ע֣וּשׁוּ וָ⁠בֹ֧אוּ כָֽל־הַ⁠גּוֹיִ֛ם מִ⁠סָּבִ֖יב וְ⁠נִקְבָּ֑צוּ שָׁ֕מָּ⁠ה	1.0	Hurry and come … together there	These words continue the ironic call to battle that begins in [Joel 3:9](../03/09.md). (See: [[rc://en/ta/man/translate/figs-irony]])	JOL 3:11
