MACULA_IDs	MARBLE_IDs
o010020090041	00100200900010
o010020090051	00100200900012
o010020090052	00100200900014
o010020090061	00100200900016
o010020090071	00100200900018
o010020090081	00100200900020
o010020090091	00100200900022
o010020090092	00100200900024
o010020090101	00100200900026
o010020090102	00100200900028
o010020090111	00100200900030
o010020090112	00100200900032
o010020090121	00100200900034
o010020090122	00100200900036
o010020090131	00100200900038
o010020090132	00100200900040
o010020090141	00100200900042
o010020090142	00100200900044
o010020090151	00100200900046
o010020090152	00100200900048
o010020090161	00100200900050
o010020090162	00100200900052
o010020090171	00100200900054
o010020090172	00100200900056
o010020090181	00100200900058
o010020090191	00100200900060
o010020090192	00100200900062
o010020100011	00100201000002
o010020100012	00100201000004
o010020100021	00100201000006
o010020100031	00100201000008
o010020100032	00100201000010
o010020100041	00100201000012
o010020100042	00100201000014
o010020100051	00100201000016
o010020100061	00100201000018
o010020100062	00100201000020
o010020100071	00100201000022
o010020100072	00100201000024
o010020100073	00100201000026
o010020100081	00100201000028
o010020100091	00100201000030
o010020100092	00100201000032
o010020100101	00100201000034
o010020100102	00100201000036
o010020100111	00100201000038
o010020110011	00100201100002
o010020110021	00100201100004
o010020110022	00100201100006
o010020110031	00100201100008
o010020110041	00100201100010
o010020110051	00100201100012
o010020110052	00100201100014
o010020110061	00100201100016
o010020110071	00100201100018
o010020110081	00100201100020
o010020110091	00100201100022
o010020110092	00100201100024
o010020110101	00100201100026
o010020110111	00100201100028
o010020110121	00100201100030
o010020110122	00100201100032
o010020120011	00100201200002
o010020120012	00100201200004
o010020120021	00100201200006
o010020120022	00100201200008
o010020120031	00100201200010
o010020120032	00100201200012
o010020120041	00100201200014
o010020120051	00100201200016
o010020120061	00100201200018
o010020120062	00100201200020
o010020120071	00100201200022
o010020120072	00100201200024
o010020120081	00100201200026
o010020120082	00100201200028
o010020130011	00100201300002
o010020130012	00100201300004
o010020130021	00100201300006
o010020130022	00100201300008
o010020130031	00100201300010
o010020130032	00100201300012
o010020130041	00100201300014
o010020130051	00100201300016
o010020130061	00100201300018
o010020130062	00100201300020
o010020130071	00100201300022
o010020130081	00100201300024
o010020130091	00100201300026
o010020130101	00100201300028
o010020140011	00100201400002
o010020140012	00100201400004
o010020140021	00100201400006
o010020140022	00100201400008
o010020140031	00100201400010
o010020140032	00100201400012
o010020140041	00100201400014
o010020140051	00100201400016
o010020140061	00100201400018
o010020140062	00100201400020
o010020140071	00100201400022
o010020140081	00100201400024
o010020140091	00100201400026
o010020140092	00100201400028
o010020140093	00100201400030
o010020140101	00100201400032
o010020140102	00100201400034
o010020140111	00100201400036
o010020140121	00100201400038
o010020150011	00100201500002
o010020150012	00100201500004
o010020150021	00100201500006
o010020150031	00100201500008
o010020150041	00100201500010
o010020150051	00100201500012
o010020150052	00100201500014
o010020150061	00100201500016
o010020150062 o010020150063	00100201500018
o010020150071	00100201500020
o010020150072	00100201500022
o010020150081	00100201500024
