010010260103	ע֣וֹף	birds	鸟
010010260111	הַ	the	
010010260112	שָּׁמַ֗יִם	air	空中
010010260121	וּ	and	和
010010260122	בַ	over	管理
010010260123		the	
010010260124	בְּהֵמָה֙	cattle	牲畜
010010260131	וּ	and	和
010010260132	בְ	over	管理
010010260133	כָל־	all	全
010010260141	הָ	the	
010010260142	אָ֔רֶץ	earth	地
010010260151	וּ	and	和
010010260152	בְ	over	
010010260153	כָל־	every	一切
010010260161	הָ	the	
010010260162	רֶ֖מֶשׂ	creeping thing	爬虫
010010260171	הָֽ	the	
010010260172	רֹמֵ֥שׂ	creeps	爬
010010260181	עַל־	on	在~上
010010260191	הָ	the	
010010260192	אָֽרֶץ	earth	地上
010010270011	וַ	so	于是
010010270012	יִּבְרָ֨א	created	创造
010010270021	אֱלֹהִ֤ים ׀	God	神/上帝
010010270031	אֶת־		
010010270041	הָֽ	the	
010010270042	אָדָם֙	man	人
010010270051	בְּ	in	照着
010010270052	צַלְמ	image	形像
010010270053	֔וֹ	his own	自己
010010270061	בְּ	in	照着
010010270062	צֶ֥לֶם	image	形像
010010270071	אֱלֹהִ֖ים	God	神/上帝
010010270081	בָּרָ֣א	created	创造
010010270091	אֹת		
010010270092	֑וֹ	him	他
010010270101	זָכָ֥ר	male	男
010010270111	וּ	and	和
010010270112	נְקֵבָ֖ה	female	女
010010270121	בָּרָ֥א	created	创造
010010270131	אֹת		
010010270132	ָֽם	them	他们
010010280011	וַ	and	就
010010280012	יְבָ֣רֶךְ	blessed	赐福
010010280021	אֹת		给
010010280022	ָם֮	them	他们
010010280031	אֱלֹהִים֒	God	神/上帝
010010280041	וַ	and	
010010280042	יֹּ֨אמֶר	said	说
010010280051	ל	to	对
010010280052	ָהֶ֜ם	them	他们
010010280061	אֱלֹהִ֗ים	God	神/上帝
010010280071	פְּר֥וּ	fruitful	生养
010010280081	וּ	and	
010010280082	רְב֛וּ	multiply	增多
010010280091	וּ	and	又
010010280092	מִלְא֥וּ	fill	遍满
010010280101	אֶת־		
010010280111	הָ	the	这
010010280112	אָ֖רֶץ	earth	地
010010280121	וְ	and	并
010010280122	כִבְשֻׁ֑	subdue	征服
010010280123	הָ	it	它
010010280131	וּ	and	又
010010280132	רְד֞וּ	rule	管理
010010280141	בִּ	over	里
010010280142	דְגַ֤ת	fish	鱼
010010280151	הַ	the	
010010280152	יָּם֙	sea	海
010010280161	וּ	and	和
010010280162	בְ	over	
010010280163	ע֣וֹף	birds	鸟
010010280171	הַ	the	
010010280172	שָּׁמַ֔יִם	air	空中
010010280181	וּ	and	和
010010280182	בְ	over	
010010280183	כָל־	every	各样
010010280191	חַיָּ֖ה	living thing	生物
010010280201	הָֽ	the	
010010280202	רֹמֶ֥שֶׂת	moves	活动
010010280211	עַל־	on	在~上
010010280221	הָ	the	
010010280222	אָֽרֶץ	earth	地上
010010290011	וַ	then	又
010010290012	יֹּ֣אמֶר	said	说
010010290021	אֱלֹהִ֗ים	God	神/上帝
010010290031	הִנֵּה֩	behold	看
010010290041	נָתַ֨תִּי	given	赐给
010010290051	ל	to	
010010290052	ָכֶ֜ם	you	你们
010010290061	אֶת־		
010010290071	כָּל־	every	一切
010010290081	עֵ֣שֶׂב ׀	plant	菜蔬
010010290091	זֹרֵ֣עַ	yielding	结
010010290101	זֶ֗רַע	seed	种子
010010290111	אֲשֶׁר֙	that	
010010290121	עַל־	on	
010010290131	פְּנֵ֣י	face	上
010010290141	כָל־	all	全
010010290151	הָ	the	
010010290152	אָ֔רֶץ	earth	地
010010290161	וְ	and	和
010010290162	אֶת־		
010010290171	כָּל־	every	一切
010010290181	הָ	the	
010010290182	עֵ֛ץ	tree	树
010010290191	אֲשֶׁר־	whose	
010010290201	בּ	in	里
010010290202	֥וֹ	its	其
010010290211	פְרִי־	fruit	果子
010010290221	עֵ֖ץ	tree	树
010010290231	זֹרֵ֣עַ	bears	结
010010290241	זָ֑רַע	seed	种子
010010290251	ל	for	
010010290252	ָכֶ֥ם	you	你们
010010290261	יִֽהְיֶ֖ה	be	作
010010290271	לְ	for	
010010290272	אָכְלָֽה	food	食物
010010300011	וּֽ	and	而
010010300012	לְ	to	至于
010010300013	כָל־	every	所有的
010010300021	חַיַּ֣ת	beast	走兽
010010300031	הָ֠	the	
010010300032	אָרֶץ	earth	地上
010010300041	וּ	and	及
010010300042	לְ	to	
010010300043	כָל־	every	一切
010010300051	ע֨וֹף	bird	飞鸟
010010300061	הַ	the	
010010300062	שָּׁמַ֜יִם	air	空中
010010300071	וּ	and	和
010010300072	לְ	to	
010010300073	כֹ֣ל ׀	everything	各样
010010300081	רוֹמֵ֣שׂ	moves	爬行
010010300091	עַל־	on	在~上
010010300101	הָ	the	
010010300102	אָ֗רֶץ	earth	地上
010010300111	אֲשֶׁר־	that	
010010300121	בּ	in	里面
010010300122	וֹ֙	it	其
010010300131	נֶ֣פֶשׁ	breath	动物
010010300141	חַיָּ֔ה	life	有生命的
010010300151	אֶת־		
010010300161	כָּל־	every	所有的
010010300171	יֶ֥רֶק	green	绿色
010010300181	עֵ֖שֶׂב	plant	植物
010010300191	לְ	for	作
010010300192	אָכְלָ֑ה	food	食物
010010300201	וַֽ	and	就
010010300202	יְהִי־	was	成
010010300211	כֵֽן	so	这样
010010310011	וַ	and	
010010310012	יַּ֤רְא	saw	看
010010310021	אֱלֹהִים֙	God	神/上帝
010010310031	אֶת־		
010010310041	כָּל־	all	一切
010010310051	אֲשֶׁ֣ר	that	所~的
010010310061	עָשָׂ֔ה	made	造
010010310071	וְ	and	
010010310072	הִנֵּה־	behold	看
010010310081	ט֖וֹב	good	好
010010310091	מְאֹ֑ד	very	很
010010310101	וַֽ	and	于是
010010310102	יְהִי־	there was	有
010010310111	עֶ֥רֶב	evening	晚上
010010310121	וַֽ	and	
010010310122	יְהִי־	there was	有
010010310131	בֹ֖קֶר	morning	早晨
010010310141	י֥וֹם	day	日
010010310151	הַ	the	
010010310152	שִּׁשִּֽׁי	sixth	第六
010020010011	וַ	thus	于是
010020010012	יְכֻלּ֛וּ	completed	造齐
010020010021	הַ	the	
010020010022	שָּׁמַ֥יִם	heavens	天
010020010031	וְ	and	和
010020010032	הָ	the	
010020010033	אָ֖רֶץ	earth	地
010020010041	וְ	and	和
010020010042	כָל־	all	一切
010020010051	צְבָא	array	万有
010020010052	ָֽם	their	其
010020020011	וַ	and	于是
010020020012	יְכַ֤ל	finished	完成
010020020021	אֱלֹהִים֙	God	神/上帝
010020020031	בַּ	on	到
010020020032		the	
010020020033	יּ֣וֹם	day	日
010020020041	הַ	the	
010020020042	שְּׁבִיעִ֔י	seventh	第七
010020020051	מְלַאכְתּ	work	工
010020020052	֖וֹ	his	他
010020020061	אֲשֶׁ֣ר	that	所~的
010020020071	עָשָׂ֑ה	done	作
010020020081	וַ	and	就
010020020082	יִּשְׁבֹּת֙	rested	歇
010020020091	בַּ	on	在
010020020092		the	
010020020093	יּ֣וֹם	day	日
010020020101	הַ	the	
010020020102	שְּׁבִיעִ֔י	seventh	第七
010020020111	מִ	from	歇了
010020020112	כָּל־	all	一切
010020020121	מְלַאכְתּ	work	工
010020020122	֖וֹ	his	他
010020020131	אֲשֶׁ֥ר	that	所~的
010020020141	עָשָֽׂה	done	作
010020030011	וַ	and	于是
010020030012	יְבָ֤רֶךְ	blessed	赐福
010020030021	אֱלֹהִים֙	God	神/上帝
010020030031	אֶת־		
010020030041	י֣וֹם	day	日
010020030051	הַ	the	
010020030052	שְּׁבִיעִ֔י	seventh	第七
010020030061	וַ	and	并
010020030062	יְקַדֵּ֖שׁ	sanctified	分别为圣
010020030071	אֹת		
010020030072	֑וֹ	it	它
010020030081	כִּ֣י	because	因为
010020030091	ב	on	在
010020030092	֤וֹ	it	其
010020030101	שָׁבַת֙	rested	安息
010020030111	מִ	from	歇了
010020030112	כָּל־	all	一切
010020030121	מְלַאכְתּ	work	工
010020030122	֔וֹ	his	他
010020030131	אֲשֶׁר־	that	所~的
010020030141	בָּרָ֥א	creation	创造
010020030151	אֱלֹהִ֖ים	God	神
010020030161	לַ	to	在~中
010020030162	עֲשֽׂוֹת	done	做
010020040011	אֵ֣לֶּה	these	这
010020040021	תוֹלְד֧וֹת	generations	来历
010020040031	הַ	the	
010020040032	שָּׁמַ֛יִם	heavens	天
010020040041	וְ	and	和
010020040042	הָ	the	
010020040043	אָ֖רֶץ	earth	大地
010020040051	בְּ	when	当~之时
010020040052	הִבָּֽרְא	created	创造
010020040053	ָ֑ם	they	它们
010020040061	בְּ	in	在
010020040062	י֗וֹם	day	日子
010020040071	עֲשׂ֛וֹת	made	造
010020040081	יְהוָ֥ה	LORD	耶和华
010020040091	אֱלֹהִ֖ים	God	神/上帝
